episode,reward
1,-616
2,-1921
3,-2888
4,-1551
5,-3218
6,-4123
7,-4377
8,-3733
9,-1400
10,-2876
11,-4361
12,-3722
13,-3553
14,-4105
15,-1557
16,-3817
17,-3213
18,-4452
19,-4098
20,-4188
21,-2911
22,-1895
23,-2995
24,-2832
25,-3436
26,-2345
27,-3258
28,-3752
29,-2764
30,-4035
31,-2843
32,-3756
33,-3480
34,-3598
35,-2678
36,-2234
37,-2483
38,-2904
39,-2056
40,-3836
41,-1280
42,-3742
43,-3363
44,-3847
45,-1574
46,-2490
47,-3561
48,-4188
49,-2118
50,-4468
51,-2869
52,-3467
53,-2425
54,-4424
55,-4141
56,-3954
57,-4451
58,-1793
59,-3084
60,-3113
61,-2995
62,-4252
63,-2322
64,-4382
65,-3436
66,-1711
67,-2536
68,-3648
69,-4091
70,-3059
71,-2997
72,-3658
73,-3154
74,-1864
75,-3217
76,-1867
77,-3048
78,-3554
79,-3481
80,-3674
81,-4291
82,-3757
83,-2538
84,-4168
85,-1918
86,-3701
87,-2440
88,-4055
89,-2874
90,-3835
91,-4504
92,-4032
93,-1505
94,-4389
95,-4059
96,-4818
97,-4209
98,-2355
99,-3354
100,-4229
101,-3728
102,-3772
103,-2812
104,-4348
105,-3754
106,-3806
107,-2831
108,-4064
109,-3547
110,-3151
111,-4577
112,-3009
113,-3455
114,-4386
115,-3424
116,-3361
117,-3307
118,-3143
119,-4775
120,-4166
121,-4669
122,-2762
123,-4345
124,-4263
125,-3054
126,-3697
127,-4382
128,-4257
129,-3333
130,-3593
131,-4035
132,-2322
133,-4302
134,-2140
135,-4322
136,-4054
137,-3234
138,-4069
139,-3391
140,-4691
141,-2789
142,-2496
143,-4196
144,-3098
145,-4059
146,-4609
147,-4126
148,-3381
149,-4137
150,-3738
151,-2240
152,-4468
153,-4107
154,-3300
155,-4324
156,-4216
157,-3169
158,-3608
159,-3916
160,-4256
161,-4179
162,-4266
163,-2517
164,-4064
165,-2891
166,-3860
167,-4006
168,-3895
169,-4190
170,-4287
171,-3649
172,-3201
173,-3936
174,-4826
175,-3575
176,-1814
177,-4072
178,-4039
179,-3033
180,-4323
181,-4602
182,-3293
183,-3379
184,-3871
185,-2662
186,-4012
187,-4455
188,-4057
189,-4180
190,-4594
191,-3639
192,-3920
193,-3772
194,-4148
195,-4269
196,-4458
197,-4303
198,-4557
199,-4272
200,-2919
201,-3041
202,-3180
203,-3553
204,-3795
205,-3510
206,-2613
207,-3383
208,-2933
209,-3636
210,-4270
211,-4020
212,-2778
213,-3861
214,-3116
215,-3426
216,-4117
217,-3744
218,-3995
219,-4138
220,-4295
221,-3890
222,-4078
223,-4675
224,-4264
225,-4124
226,-4142
227,-3251
228,-4008
229,-3291
230,-4471
231,-4223
232,-4417
233,-3959
234,-3956
235,-4562
236,-4663
237,-4330
238,-3566
239,-3818
240,-3405
241,-4486
242,-4529
243,-3696
244,-3142
245,-4120
246,-3978
247,-3841
248,-2265
249,-3406
250,-2508
251,-3900
252,-3801
253,-4436
254,-4336
255,-3748
256,-4592
257,-4633
258,-4598
259,-3379
260,-3851
261,-4296
262,-3969
263,-4168
264,-5193
265,-2965
266,-4609
267,-4086
268,-3533
269,-4132
270,-4481
271,-4457
272,-4667
273,-4650
274,-3748
275,-3879
276,-4378
277,-4498
278,-3921
279,-3647
280,-4288
281,-4206
282,-4305
283,-4472
284,-4539
285,-4398
286,-4574
287,-4220
288,-4139
289,-3313
290,-4274
291,-4283
292,-4009
293,-4741
294,-3932
295,-4086
296,-3211
297,-3812
298,-4464
299,-3858
300,-4493
